2026-02-19 14:20:11 | INFO     | arxiv-rag.embed_direct | Initializing...
2026-02-19 14:20:11 | INFO     | arxiv-rag.embed_direct | Connected to PostgreSQL directly
2026-02-19 14:20:11 | INFO     | arxiv-rag.embed_direct | Getting chunks without openai embeddings...
2026-02-19 14:20:11 | INFO     | arxiv-rag.embed_direct | Found 7810 chunks to embed

=== OPENAI Embedding (Direct PostgreSQL) ===
Chunks: 7810
Batch size: 100

2026-02-19 14:20:11 | INFO     | arxiv-rag.embed_direct | Embedding batch 1/79
2026-02-19 14:20:12 | INFO     | arxiv-rag.openai_embedder | OpenAI client initialized
2026-02-19 14:20:19 | INFO     | arxiv-rag.embed_direct | Progress: 100/100 (100 success)
2026-02-19 14:20:19 | INFO     | arxiv-rag.embed_direct | Embedding batch 2/79
2026-02-19 14:20:23 | INFO     | arxiv-rag.embed_direct | Progress: 100/100 (100 success)
2026-02-19 14:20:23 | INFO     | arxiv-rag.embed_direct | Embedding batch 3/79
2026-02-19 14:20:24 | INFO     | arxiv-rag.embed_direct | Progress: 100/100 (100 success)
2026-02-19 14:20:24 | INFO     | arxiv-rag.embed_direct | Embedding batch 4/79
2026-02-19 14:20:27 | INFO     | arxiv-rag.embed_direct | Progress: 100/100 (100 success)
2026-02-19 14:20:27 | INFO     | arxiv-rag.embed_direct | Embedding batch 5/79
2026-02-19 14:20:29 | INFO     | arxiv-rag.embed_direct | Progress: 100/100 (100 success)
2026-02-19 14:20:29 | INFO     | arxiv-rag.embed_direct | Embedding batch 6/79
2026-02-19 14:20:30 | INFO     | arxiv-rag.embed_direct | Progress: 100/100 (100 success)
2026-02-19 14:20:30 | INFO     | arxiv-rag.embed_direct | Embedding batch 7/79
2026-02-19 14:20:34 | INFO     | arxiv-rag.embed_direct | Progress: 100/100 (100 success)
2026-02-19 14:20:34 | INFO     | arxiv-rag.embed_direct | Embedding batch 8/79
2026-02-19 14:20:35 | INFO     | arxiv-rag.embed_direct | Progress: 100/100 (100 success)
2026-02-19 14:20:35 | INFO     | arxiv-rag.embed_direct | Embedding batch 9/79
2026-02-19 14:20:36 | INFO     | arxiv-rag.embed_direct | Progress: 100/100 (100 success)
2026-02-19 14:20:36 | INFO     | arxiv-rag.embed_direct | Embedding batch 10/79
2026-02-19 14:20:38 | INFO     | arxiv-rag.embed_direct | Progress: 100/100 (100 success)
2026-02-19 14:20:38 | INFO     | arxiv-rag.embed_direct | Progress: 1000/7810 saved to DB
2026-02-19 14:20:38 | INFO     | arxiv-rag.embed_direct | Embedding batch 11/79
